cell_type,concentration,n_distinguishable,top_markers
2,0.001631635942893885,1,"[632, 43, 252, 500, 792, 1130, 16, 115, 167, 1121]"
2,0.0019054222085523648,2,"[792, 632, 252, 1106, 16, 500, 1130, 115, 167, 1121]"
2,0.002225149432786609,5,"[632, 43, 1106, 252, 1130, 500, 16, 115, 167, 1121]"
2,0.002598526445218819,7,"[1106, 252, 792, 1130, 43, 500, 16, 115, 167, 1121]"
2,0.003034555606472433,7,"[43, 792, 1106, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.0035437498608938797,12,"[632, 252, 792, 43, 1130, 500, 16, 115, 167, 1121]"
2,0.004138386210422373,15,"[632, 1106, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.0048328017210261245,22,"[792, 252, 1106, 43, 500, 1130, 16, 115, 167, 1121]"
2,0.005643739198611264,26,"[792, 632, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.006590750868872473,32,"[632, 1106, 252, 43, 1130, 500, 16, 115, 167, 1121]"
2,0.007696669794067008,39,"[792, 43, 1106, 252, 1130, 500, 16, 115, 167, 1121]"
2,0.008988160392874619,47,"[1106, 632, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.010496361336732254,49,"[792, 43, 1106, 252, 1130, 500, 16, 115, 167, 1121]"
2,0.012257636323289026,55,"[792, 1106, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.014314450828613578,61,"[252, 43, 632, 792, 500, 1130, 16, 115, 167, 1121]"
2,0.01671639597721523,61,"[792, 632, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.019521384216045566,63,"[1106, 792, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.022797045620951938,63,"[792, 632, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.026622358501432165,63,"[632, 1106, 43, 252, 1130, 500, 16, 115, 167, 1121]"
2,0.031089553618622864,63,"[1106, 792, 252, 43, 500, 1130, 16, 115, 167, 1121]"
2,0.03630633792844572,63,"[632, 1106, 252, 43, 500, 1130, 16, 115, 167, 1121]"
2,0.042398491465793026,63,"[792, 1106, 252, 43, 500, 1130, 16, 115, 167, 1121]"
2,0.04951289998230568,65,"[632, 792, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.05782109645659659,65,"[1106, 632, 252, 43, 500, 1130, 16, 115, 167, 1121]"
2,0.06752339686501559,65,"[1106, 792, 252, 43, 1130, 500, 16, 115, 167, 1121]"
2,0.0788537299290565,65,"[632, 792, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.09208527728773268,66,"[792, 1106, 252, 43, 500, 1130, 16, 115, 167, 1121]"
2,0.10753706008311428,67,"[792, 43, 632, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.12558163076585405,82,"[632, 1106, 43, 252, 1130, 500, 16, 115, 167, 1121]"
2,0.14665405557509434,100,"[792, 43, 252, 632, 500, 1130, 16, 115, 167, 1121]"
2,0.17126240426614048,147,"[1106, 792, 43, 252, 500, 1130, 16, 115, 167, 1121]"
2,0.20000000000000004,198,"[1106, 632, 43, 252, 500, 1130, 16, 115, 167, 1121]"
3,0.0001,0,"[850, 231, 875, 501, 201, 244, 730, 979, 1081, 912]"
3,0.0001167798623737652,0,"[56, 675, 1040, 750, 247, 582, 822, 335, 224, 560]"
3,0.0001363753625603554,0,"[670, 425, 788, 1071, 164, 1015, 18, 790, 149, 185]"
3,0.00015925896070970654,0,"[356, 571, 128, 911, 313, 131, 123, 122, 125, 217]"
3,0.00018598239513468407,0,"[857, 675, 108, 1039, 931, 330, 229, 349, 157, 612]"
3,0.00021718998507771627,0,"[601, 936, 1055, 189, 1139, 181, 284, 473, 575, 251]"
3,0.0002536341656633582,0,"[809, 674, 557, 289, 1118, 547, 1110, 225, 926, 1037]"
3,0.00029619362959451735,0,"[126, 122, 313, 314, 957, 709, 217, 1128, 1007, 911]"
3,0.00034589451300033727,0,"[399, 1023, 302, 187, 655, 819, 490, 559, 1007, 709]"
3,0.00040393513624019926,0,"[606, 306, 550, 865, 235, 367, 25, 843, 749, 709]"
3,0.0004717148961805861,0,"[519, 522, 142, 1119, 792, 149, 1071, 185, 1015, 416]"
3,0.0005508680065562379,0,"[1126, 1079, 999, 689, 1138, 1129, 937, 833, 709, 293]"
3,0.0006433028999174784,0,"[744, 1024, 382, 995, 1045, 151, 41, 71, 682, 811]"
3,0.0007512482411700718,0,"[332, 1108, 1022, 1110, 547, 815, 834, 814, 701, 709]"
3,0.0008773066621237416,0,"[72, 119, 657, 217, 491, 1100, 911, 1007, 293, 709]"
3,0.0010245175126239797,0,"[256, 1036, 261, 248, 690, 407, 911, 1007, 709, 293]"
3,0.0011964301412374049,0,"[229, 56, 1100, 64, 491, 657, 1007, 911, 293, 709]"
3,0.0013971894723352873,0,"[657, 723, 571, 217, 491, 1054, 1100, 911, 709, 293]"
3,0.001631635942893885,0,"[1054, 926, 1007, 217, 702, 491, 293, 1100, 709, 911]"
3,0.0019054222085523648,0,"[377, 702, 20, 1007, 491, 657, 1100, 911, 709, 293]"
3,0.002225149432786609,0,"[478, 217, 657, 723, 921, 491, 1100, 911, 709, 293]"
3,0.002598526445218819,0,"[377, 217, 1007, 119, 491, 657, 1100, 911, 293, 709]"
3,0.003034555606472433,0,"[723, 1007, 217, 702, 657, 491, 1100, 911, 709, 293]"
3,0.0035437498608938797,0,"[217, 1054, 723, 657, 491, 1007, 1100, 911, 293, 709]"
3,0.004138386210422373,0,"[119, 217, 1054, 657, 1007, 491, 1100, 911, 293, 709]"
3,0.0048328017210261245,1,"[921, 1054, 657, 1007, 217, 491, 1100, 911, 709, 293]"
3,0.005643739198611264,2,"[723, 119, 217, 657, 1007, 491, 1100, 911, 293, 709]"
